customer_id,age,gender,region,education_level,employment_type,annual_income,join_date,default_flag
CUST1001,56.0,Male,East,Graduate,Salaried,,2023/08/24,1
CUST1002,46.0,Female,West,Graduate,Salaried,8000000.0,2019/01/08,0
CUST1003,32.0,Male,West,Secondary,Salaried,1444464.04,2024/03/22,0
CUST1004,60.0,Female,West,Post-Graduate,Self-Employed,655988.1,2021/01/01,0
CUST1005,25.0,Female,North,Graduate,Salaried,,2025/01/02,0
CUST1006,38.0,Male,South,Graduate,Self-Employed,501086.25,2019/08/26,1
CUST1007,56.0,Female,North,Post-Graduate,Self-Employed,1428567.3,2018/08/04,0
CUST1008,36.0,Female,South,Post-Graduate,Self-Employed,691250.93,2023/06/20,0
CUST1009,40.0,Male,East,Graduate,Salaried,404019.89,2022/04/14,0
CUST1010,28.0,Female,East,Post-Graduate,Salaried,530305.96,2023/01/15,0
CUST1011,28.0,Female,West,Graduate,Salaried,1111450.67,2023/05/17,1
CUST1012,41.0,Female,South,Graduate,Salaried,945566.1,2025/11/27,1
CUST1013,53.0,Male,East,Graduate,Salaried,613799.1,2019/12/28,0
CUST1014,,Female,South,Graduate,,572107.5,2021/05/29,0
CUST1015,41.0,Male,East,Secondary,Salaried,564315.42,2025/02/14,1
CUST1016,20.0,Male,North,Post-Graduate,,421472.58,2020/12/01,0
CUST1017,39.0,Female,East,Post-Graduate,Salaried,1701961.97,2019/11/07,1
CUST1018,19.0,Male,North,Secondary,Salaried,586283.86,2025/12/30,1
CUST1019,41.0,Male,East,Post-Graduate,Salaried,1367196.43,2018/10/10,0
CUST1020,47.0,Female,West,Secondary,Salaried,1616153.41,2020/12/17,0
CUST1021,55.0,Female,North,Graduate,Unemployed,,2025/11/21,0
CUST1022,19.0,Female,East,Graduate,Salaried,552077.9,2025/01/28,0
CUST1023,,Female,West,Secondary,Unemployed,874045.02,2023/03/24,1
CUST1024,50.0,,North,Post-Graduate,Self-Employed,690746.4,2021/02/26,1
CUST1025,29.0,Male,West,Post-Graduate,Salaried,425831.75,2025/11/29,0
CUST1026,39.0,Male,South,Graduate,Unemployed,836710.34,2020/08/05,0
CUST1027,42.0,Female,South,Secondary,Salaried,365990.89,2019/10/27,0
CUST1028,44.0,Female,North,Secondary,Self-Employed,1345208.1,2022/09/14,0
CUST1029,59.0,Female,East,Graduate,Salaried,542148.97,2021/02/22,0
CUST1030,45.0,Female,North,Post-Graduate,Self-Employed,781893.19,2018/03/08,0
