customer_id,age,gender,region,education_level,employment_type,annual_income,join_date,default_flag,transaction_id,loan_amount,loan_purpose,credit_score,repayment_months,transaction_count,product_id,interest_rate_x,product_name,category,interest_rate_y,stock,join_year,join_month,join_day,join_weekday,education_level_encoded,gender_encoded,income_category,good_credit,transaction_bin,income_standard,income_minmax,loan_maxabs,income_robust,spending_ratio,spending_log,spending_reciprocal,spending_sqrt,loan_yeojohnson,debt_to_income_ratio,months_since_join,average_monthly_transactions,spending_to_income_ratio
1001,56.0,Male,East,Graduate,Salaried,700079.72,2023-08-24,1.0,TXN10001,323353.63,Education,599.34,24.0,42.0,P004,7.14,Education Loan,Education Loan,9.25,600.0,2023,8,24,Thursday,1.0,1,,0,2.0,-0.19367610974721347,0.04642022953586498,0.021556908666666666,0.0,46.18811554775505,3.8541420716447985,0.0211917765393277,6.796183895963605,-0.3338875923851779,0.4618811554775505,36.766666666666666,1.14233907524932,0.4618811554775505
1002,46.0,Female,West,Graduate,Salaried,8000000.0,2019-01-08,0.0,TXN10002,418026.74,Home,828.53,24.0,51.0,P003,14.89,Home Loan,Home Loan,8.5,500.0,2019,1,8,Tuesday,1.0,0,Very High,1,3.0,7.958146713795665,0.6624472573839664,0.027868449333333333,15.345974097394604,5.22533425,1.8286271356883748,0.16063394507692497,2.285899002580823,0.001236227492242669,0.0522533425,93.06666666666666,0.5479942693409743,0.0522533425
1003,32.0,Male,West,Secondary,Salaried,1444464.04,2024-03-22,0.0,TXN10003,1093767.41,Education,759.24,24.0,12.0,P004,18.03,Education Loan,Education Loan,9.25,600.0,2024,3,22,Friday,0.0,1,Very High,1,0.0,0.6375780487246988,0.10923747172995782,0.07291782733333332,1.5648530470289872,75.72133190660807,4.340179791042425,0.013034184563131511,8.70180049797788,1.1857226249512,0.7572133190660807,29.733333333333334,0.40358744394618834,0.7572133190660807
1004,60.0,Female,West,Post-Graduate,Self-Employed,655988.1,2021-01-01,0.0,TXN10004,199624.29,Home,659.89,48.0,56.0,P003,11.91,Home Loan,Home Loan,8.5,500.0,2021,1,1,Friday,2.0,0,Medium,0,3.0,-0.2429132329563151,0.04269941772151899,0.013308286,-0.09268989694119863,30.431084039481814,3.447797340812265,0.0318156382625512,5.51643762218715,-0.9860053549426417,0.30431084039481815,68.93333333333334,0.8123791102514506,0.30431084039481815
1005,25.0,Female,North,Graduate,Salaried,700079.72,2025-01-02,0.0,TXN10005,218271.28,Business,776.53,12.0,16.0,P005,19.96,Business Loan,Business Loan,11.75,400.0,2025,1,2,Thursday,1.0,0,,1,1.0,-0.19367610974721347,0.04642022953586498,0.014551418666666666,0.0,31.178060692859376,3.471284875387154,0.03107707482887276,5.583731789122699,-0.8629813245037482,0.3117806069285938,20.2,0.7920792079207921,0.3117806069285938
1006,38.0,Male,South,Graduate,Self-Employed,501086.25,2019-08-26,1.0,TXN10006,418026.74,Education,585.97,24.0,41.0,P004,16.03,Education Loan,Education Loan,9.25,600.0,2019,8,26,Monday,1.0,1,Low,0,2.0,-0.41589216804120827,0.029627531645569624,0.027868449333333333,-0.4183262993346922,83.42410912293043,4.435853013926118,0.01184495768316482,9.13367993324325,0.001236227492242669,0.8342410912293043,85.4,0.48009367681498827,0.8342410912293043
1007,56.0,Female,North,Post-Graduate,Self-Employed,1428567.3,2018-08-04,0.0,TXN10007,796531.97,Education,682.55,6.0,32.0,P004,20.29,Education Loan,Education Loan,9.25,600.0,2018,8,4,Saturday,2.0,0,Very High,0,2.0,0.6198261551448517,0.10789597468354431,0.05310213133333333,1.5314347423193615,55.757399038883214,4.038786027402631,0.01761884823712451,7.467087721386646,0.8071835749558179,0.5575739903888322,98.3,0.32553407934893186,0.5575739903888322
1008,36.0,Female,South,Post-Graduate,Self-Employed,691250.93,2023-06-20,0.0,TXN10008,592980.49,Home,628.27,6.0,15.0,P003,15.6,Home Loan,Home Loan,8.5,500.0,2023,6,20,Tuesday,2.0,0,Medium,0,1.0,-0.20353522177388159,0.04567518396624473,0.03953203266666667,-0.018559981130552194,85.78368060929769,4.463418592576322,0.011522903764614746,9.261947992150338,0.44444682924410517,0.8578368060929769,38.93333333333333,0.38527397260273977,0.8578368060929769
1009,40.0,Male,East,Graduate,Salaried,404019.89,2022-04-14,0.0,TXN10009,170860.1,Education,635.04,24.0,27.0,P004,7.23,Education Loan,Education Loan,9.25,600.0,2022,4,14,Thursday,1.0,1,Low,0,2.0,-0.5242861968108251,0.021436277637130803,0.011390673333333334,-0.6223802874815846,42.29002190956489,3.7679221675652164,0.023100011408842713,6.503077879709338,-1.2028804492032605,0.42290021909564895,53.333333333333336,0.50625,0.42290021909564895
1010,28.0,Female,East,Post-Graduate,Salaried,530305.96,2023-01-15,0.0,TXN10010,271756.26,Home,590.19,24.0,28.0,P003,10.26,Home Loan,Home Loan,8.5,500.0,2023,1,15,Sunday,2.0,0,Medium,0,2.0,-0.38326251049167354,0.03209332995780591,0.018117084000000002,-0.3569002980094583,51.245183063754375,3.9559476964277653,0.019140520548654373,7.158574094311965,-0.565471411989906,0.5124518306375437,44.13333333333333,0.6344410876132931,0.5124518306375437
